"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value"
"Orc Stone","IDRotF","uncommon","wondrous item","requires attunement by a recipient only","","",""
"Orcsplitter","PotA","legendary","weapon (greataxe), martial weapon, melee weapon","requires attunement by a dwarf, fighter, or paladin of good alignment","1d12, slashing, - heavy, two-handed","7 lb.",""
"Orcus Figurine","CM","unknown (magic)","wondrous item","","","",""
"Order of the Silver Dragon +2 Shield","CoS","rare","armor (shield)","","AC +2","6 lb.",""
"Ornithopter of Flying","WBtW","very rare","wondrous item","","","25 lb.",""
"Orrery of the Wanderer","AI","artifact","wondrous item, other","requires attunement","","",""
"Orzhov Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Orzhov Keyrune","GGR","rare","wondrous item","requires attunement by a member of the Orzhov guild","","",""
"Outer Essence Shard","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Outer Essence Shard (Chaotic)","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Outer Essence Shard (Evil)","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Outer Essence Shard (Good)","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Outer Essence Shard (Lawful)","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Paper Bird","WDH","uncommon","wondrous item","","","",""
"Pariah's Shield","GGR","rare","armor (shield)","requires attunement","AC +2","6 lb.",""
"Pathfinder's Greataxe","PotA","unknown (magic)","weapon (greataxe), martial weapon, melee weapon","","1d12, slashing, - heavy, two-handed","7 lb.",""
"Pearl of Power","DMG","uncommon","wondrous item","requires attunement by a spellcaster","","",""
"Pearl of Undead Detection","WDMM","unknown (magic)","other","","","","500 gp"
"Pennant of the Vind Rune","SKT","very rare","wondrous item","requires attunement","","",""
"Peregrine Mask","GGR","very rare","wondrous item","requires attunement","","",""
"Perfume of Bewitching","XGE","common","wondrous item","","","",""
"Periapt of Health","DMG","uncommon","wondrous item","","","1 lb.",""
"Periapt of Proof against Poison","DMG","rare","wondrous item","","","1 lb.",""
"Periapt of Wound Closure","DMG","uncommon","wondrous item","requires attunement","","1 lb.",""
"Petrified Grung Egg","ToA","unknown (magic)","other","requires attunement by a spellcaster","","",""
"Philter of Love","DMG","uncommon","potion","","","",""
"Piercer","AI","rare","weapon (shortsword), martial weapon, melee weapon","requires attunement","1d6, piercing, - finesse, light","2 lb.",""
"Pipe of Remembrance","GoS","common","wondrous item","","","",""
"Pipe of Smoke Monsters","XGE","common","wondrous item","","","",""
"Pipes of Haunting","DMG","uncommon","wondrous item, Instrument","","","2 lb.",""
"Pipes of the Sewers","DMG","uncommon","wondrous item, Instrument","requires attunement","","2 lb.",""
"Piwafwi (Cloak of Elvenkind)","OotA","uncommon","wondrous item","requires attunement","","",""
"Piwafwi of Fire Resistance","OotA","rare","wondrous item","requires attunement","","",""
"Pixie Dust","SKT","unknown (magic)","other","","","",""
"Pixie Dust","WBtW","uncommon","wondrous item","","","",""
"Planecaller's Codex","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Plate Armor of Etherealness","DMG","legendary","heavy armor (plate armor)","requires attunement","AC 18","65 lb.",""
"Platinum Scarf","FTD","legendary","wondrous item","requires attunement","","",""
"Poison Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Pole of Angling","XGE","common","wondrous item","","","",""
"Pole of Collapsing","XGE","common","wondrous item","","","",""
"Polymorph Blade","LLK","very rare","generic variant","requires attunement","","",""
"Portable Hole","DMG","rare","wondrous item","","","",""
"Portfolio Keeper","AI","varies","wondrous item","","","",""
"Pot of Awakening","XGE","common","wondrous item","","","",""
"Potion of Acid Resistance","DMG","uncommon","potion","","","",""
"Potion of Advantage","WBtW","uncommon","potion","","","",""
"Potion of Animal Friendship","DMG","uncommon","potion","","","",""
"Potion of Aqueous Form","MOT","rare","potion","","","",""
"Potion of Clairvoyance","DMG","rare","potion","","","",""
"Potion of Climbing","DMG","common","potion","","","",""
"Potion of Cloud Giant Strength","DMG","very rare","potion","","","",""
"Potion of Cold Resistance","DMG","uncommon","potion","","","",""
"Potion of Comprehension","WDMM","common","potion","","","",""
"Potion of Diminution","DMG","rare","potion","","","",""
"Potion of Dragon's Majesty","FTD","legendary","potion","","","",""
"Potion of Fire Breath","DMG","uncommon","potion","","","",""
"Potion of Fire Giant Strength","DMG","rare","potion","","","",""
"Potion of Fire Resistance","DMG","uncommon","potion","","","",""
"Potion of Flying","DMG","very rare","potion","","","",""
"Potion of Force Resistance","DMG","uncommon","potion","","","",""
"Potion of Frost Giant Strength","DMG","rare","potion","","","",""
"Potion of Gaseous Form","DMG","rare","potion","","","",""
"Potion of Giant Size","SKT","legendary","potion","","","",""
"Potion of Giant Strength","DMG","varies","potion","","","",""
"Potion of Greater Healing","DMG","uncommon","potion","","","",""
"Potion of Growth","DMG","uncommon","potion","","","",""
"Potion of Healing","DMG","common","potion","","","½ lb.","50 gp"
"Potion of Healing (*)","DMG","varies","potion","","","",""
"Potion of Heroism","DMG","rare","potion","","","",""
"Potion of Hill Giant Strength","DMG","uncommon","potion","","","",""
"Potion of Invisibility","DMG","very rare","potion","","","",""
"Potion of Invulnerability","DMG","rare","potion","","","",""
"Potion of Lightning Resistance","DMG","uncommon","potion","","","",""
"Potion of Longevity","DMG","very rare","potion","","","",""
"Potion of Maximum Power","EGW","rare","potion","","","",""
"Potion of Mind Control","TftYP","varies","potion","","","",""
"Potion of Mind Control (beast)","TftYP","rare","potion","","","",""
"Potion of Mind Control (humanoid)","TftYP","rare","potion","","","",""
"Potion of Mind Control (monster)","TftYP","very rare","potion","","","",""
"Potion of Mind Reading","DMG","rare","potion","","","",""
"Potion of Necrotic Resistance","DMG","uncommon","potion","","","",""
"Potion of Poison","DMG","uncommon","potion","","","",""
"Potion of Poison Resistance","DMG","uncommon","potion","","","",""
"Potion of Possibility","EGW","very rare","potion","","","",""
"Potion of Psychic Resistance","DMG","uncommon","potion","","","",""
"Potion of Radiant Resistance","DMG","uncommon","potion","","","",""
"Potion of Resistance","DMG","uncommon","potion","","","",""
"Potion of Speed","DMG","very rare","potion","","","",""
"Potion of Stone Giant Strength","DMG","rare","potion","","","",""
"Potion of Storm Giant Strength","DMG","legendary","potion","","","",""
"Potion of Superior Healing","DMG","rare","potion","","","",""
"Potion of Supreme Healing","DMG","very rare","potion","","","",""
"Potion of Thunder Resistance","DMG","uncommon","potion","","","",""
"Potion of Vitality","DMG","very rare","potion","","","",""
"Potion of Watchful Rest","WDMM","common","potion","","","",""
"Potion of Water Breathing","DMG","uncommon","potion","","","",""
"Powered Armor","LLK","legendary","heavy armor (plate armor)","requires attunement","AC 18","65 lb.",""
"Pressure Capsule","GoS","common","wondrous item","","","",""
"Prismari Primer","SCC","uncommon","wondrous item","requires attunement by a spellcaster","","",""
"Professor Orb","WDMM","rare","wondrous item","","","5 lb.",""
"Professor Skant","IDRotF","rare","wondrous item","","","5 lb.",""
"Propeller Helm","WDMM","uncommon","wondrous item","requires attunement by a small humanoid","","",""
"Prosthetic Limb","TCE","common","wondrous item","","","",""
"Protective Verses","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Psi Crystal","IDRotF","uncommon","wondrous item","requires attunement by a creature with an intelligence score of 3 or higher","","",""
"Psychic Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Pyroconverger","GGR","uncommon","wondrous item","requires attunement","","",""
"Pyxis of Pandemonium","MOT","legendary","wondrous item","","","",""
"Quaal's Feather Token","DMG","rare","wondrous item","","","",""
"Quaal's Feather Token, Anchor","DMG","rare","wondrous item","","","",""
"Quaal's Feather Token, Bird","DMG","rare","wondrous item","","","",""
"Quaal's Feather Token, Fan","DMG","rare","wondrous item","","","",""
"Quaal's Feather Token, Swan Boat","DMG","rare","wondrous item","","","",""
"Quaal's Feather Token, Tree","DMG","rare","wondrous item","","","",""
"Quaal's Feather Token, Whip","DMG","rare","wondrous item","","","",""
"Quandrix Primer","SCC","uncommon","wondrous item","requires attunement by a spellcaster","","",""
"Quiver of Ehlonna","DMG","uncommon","wondrous item","","","2 lb.",""
"Radiance","CM","unknown (magic)","wand","requires attunement by a spellcaster","","",""
"Radiant Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Rakdos Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Rakdos Keyrune","GGR","uncommon","wondrous item","requires attunement by a member of the Rakdos guild","","",""
"Rakdos Riteknife","GGR","legendary","weapon (dagger), simple weapon, melee weapon","requires attunement","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Red Chromatic Rose","WBtW","rare","wondrous item","","","",""
"Red Dragon Mask","RoTOS","legendary","wondrous item","requires attunement","","",""
"Red Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Reincarnation Dust","EGW","very rare","wondrous item","","","",""
"Reszur","PotA","uncommon","weapon (dagger), simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Reveler's Concertina","TCE","rare","wondrous item, Instrument","requires attunement by a bard","","",""
"Ring of Acid Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Air Elemental Command","DMG","legendary","ring","requires attunement","","",""
"Ring of Animal Influence","DMG","rare","ring","","","",""
"Ring of Cold Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Djinni Summoning","DMG","legendary","ring","requires attunement","","",""
"Ring of Earth Elemental Command","DMG","legendary","ring","requires attunement","","",""
"Ring of Elemental Command","DMG","legendary","ring","requires attunement","","",""
"Ring of Evasion","DMG","rare","ring","requires attunement","","",""
"Ring of Feather Falling","DMG","rare","ring","requires attunement","","",""
"Ring of Fire Elemental Command","DMG","legendary","ring","requires attunement","","",""
"Ring of Fire Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Force Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Free Action","DMG","rare","ring","requires attunement","","",""
"Ring of Invisibility","DMG","legendary","ring","requires attunement","","",""
"Ring of Jumping","DMG","uncommon","ring","requires attunement","","",""
"Ring of Lightning Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Mind Shielding","DMG","uncommon","ring","requires attunement","","",""
"Ring of Necrotic Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Obscuring","EGW","uncommon","ring","requires attunement","","",""
"Ring of Poison Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Protection","DMG","rare","ring","requires attunement","","",""
"Ring of Psychic Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Radiant Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Red Fury","CRCotN","very rare","ring","requires attunement","","",""
"Ring of Regeneration","DMG","very rare","ring","requires attunement","","",""
"Ring of Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Shooting Stars","DMG","very rare","ring","requires attunement outdoors at night","","",""
"Ring of Spell Storing","DMG","rare","ring","requires attunement","","",""
"Ring of Spell Turning","DMG","legendary","ring","requires attunement","","",""
"Ring of Swimming","DMG","uncommon","ring","","","",""
"Ring of Telekinesis","DMG","very rare","ring","requires attunement","","",""
"Ring of Temporal Salvation","EGW","rare","ring","requires attunement","","",""
"Ring of Three Wishes","DMG","legendary","ring","","","",""
"Ring of Thunder Resistance","DMG","rare","ring","requires attunement","","",""
"Ring of Truth Telling","WDH","uncommon","ring","requires attunement","","",""
"Ring of Warmth","DMG","uncommon","ring","requires attunement","","",""
"Ring of Water Elemental Command","DMG","legendary","ring","requires attunement","","",""
"Ring of Water Walking","DMG","uncommon","ring","","","",""
"Ring of Winter","ToA","artifact","ring","requires attunement","","1 lb.",""
"Ring of X-ray Vision","DMG","rare","ring","requires attunement","","",""
"Ring of the Ram","DMG","rare","ring","requires attunement","","",""
"Rings of Shared Suffering","WGE","uncommon","ring","requires attunement","","",""
"Robe of Eyes","DMG","rare","wondrous item","requires attunement","","",""
"Robe of Iridescence","CCodex","rare","wondrous item","requires attunement","","",""
"Robe of Scintillating Colors","DMG","very rare","wondrous item","requires attunement","","",""
"Robe of Serpents","SKT","uncommon","wondrous item","requires attunement","","",""
"Robe of Stars","DMG","very rare","wondrous item","requires attunement","","",""
"Robe of Summer","TftYP","rare","wondrous item","requires attunement","","1 lb.",""
"Robe of Useful Items","DMG","uncommon","wondrous item","","","",""
"Robe of the Archmagi","DMG","legendary","wondrous item","requires attunement by a sorcerer, warlock, or wizard","","",""
"Rod of Absorption","DMG","very rare","rod","requires attunement","","2 lb.",""
"Rod of Alertness","DMG","very rare","rod","requires attunement","","2 lb.",""
"Rod of Lordly Might","DMG","legendary","rod","requires attunement","","2 lb.",""
"Rod of Resurrection","DMG","legendary","rod","requires attunement by a cleric, druid, or paladin","","2 lb.",""
"Rod of Retribution","EGW","uncommon","rod","requires attunement","","2 lb.",""
"Rod of Rulership","DMG","rare","rod","requires attunement","","2 lb.",""
"Rod of Security","DMG","very rare","rod","","","2 lb.",""
"Rod of the Vonindod","SKT","rare","rod","requires attunement","","2 lb.",""
"Rope of Climbing","DMG","uncommon","wondrous item","","","3 lb.",""
"Rope of Entanglement","DMG","rare","wondrous item","","","3 lb.",""
"Rope of Mending","XGE","common","wondrous item","","","",""
"Rotor of Return","AI","very rare","wondrous item","requires attunement","","",""
"Ruby Weave Gem","FTD","legendary","wondrous item","requires attunement by a spellcaster","","",""
"Ruby of the War Mage","XGE","common","wondrous item","requires attunement by a spellcaster","","",""
"Ruidium Armor","CRCotN","very rare","generic variant","requires attunement","","",""
"Ruidium Shield","CRCotN","very rare","shield (shield)","requires attunement","AC +2","6 lb.",""
"Ruidium Weapon","CRCotN","very rare","generic variant","requires attunement","","",""
"Ruin's Wake","EGW","artifact","weapon (spear), simple weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.",""
"Ruin's Wake (Awakened)","EGW","artifact","weapon (spear), simple weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.",""
"Ruin's Wake (Dormant)","EGW","artifact","weapon (spear), simple weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.",""
"Ruin's Wake (Exalted)","EGW","artifact","weapon (spear), simple weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.",""
"Ruinblade","IMR","legendary","weapon (greatsword), martial weapon, melee weapon","requires attunement","2d6, slashing, - heavy, two-handed","6 lb.",""
"Ruinstone","DC","artifact","wondrous item","","","",""
"Saddle of the Cavalier","DMG","uncommon","wondrous item","","","",""
"Saint Markovia's Thighbone","CoS","rare","melee weapon","requires attunement","1d6, bludgeoning","4 lb.",""
"Sapphire Buckler","FTD","very rare","shield (shield)","requires attunement","AC +2","6 lb.",""
"Scaled Ornament","FTD","varies","wondrous item","requires attunement","","",""
"Scarab of Protection","DMG","legendary","wondrous item","requires attunement","","",""
"Scimitar of Speed","DMG","very rare","weapon (scimitar), martial weapon, melee weapon","requires attunement","1d6, slashing, - finesse, light","3 lb.",""
"Scissors of Shadow Snipping","WBtW","rare","wondrous item","requires attunement by a fey or a spellcaster","","",""
"Scorpion Armor","ToA","rare","heavy armor","requires attunement","AC 18","65 lb.",""
"Scribe's Pen","ERLW","common","wondrous item","requires attunement by a creature with the Mark of Scribing","","",""
"Scroll of Protection","DMG","rare","scroll","","","",""
"Scroll of Protection from Aberrations","DMG","rare","scroll","","","",""
"Scroll of Protection from Beasts","DMG","rare","scroll","","","",""
"Scroll of Protection from Celestials","DMG","rare","scroll","","","",""
"Scroll of Protection from Elementals","DMG","rare","scroll","","","",""
"Scroll of Protection from Fey","DMG","rare","scroll","","","",""
"Scroll of Protection from Fiends","DMG","rare","scroll","","","",""
"Scroll of Protection from Plants","DMG","rare","scroll","","","",""
"Scroll of Protection from Undead","DMG","rare","scroll","","","",""
"Scroll of Tarrasque Summoning","IDRotF","legendary","scroll","","","",""
"Scroll of the Comet","IDRotF","legendary","scroll","","","",""
"Seeker Dart","PotA","uncommon","weapon (dart), range, simple weapon","","1d4, piercing, - finesse, thrown (20/60 ft.)","¼ lb.",""
"Sekolahian Worshiping Statuette","GoS","common","wondrous item","","","",""
"Selesnya Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Selesnya Keyrune","GGR","rare","wondrous item","requires attunement by a member of the Selesnya guild","","",""
"Sending Stone","AI","uncommon","wondrous item","","","",""
"Sending Stones","DMG","uncommon","wondrous item","","","",""
"Sentinel Shield","DMG","uncommon","armor (shield)","","AC +2","6 lb.",""
"Serpent Scale Armor","CM","uncommon","medium armor (scale mail)","","AC 14 + Dex","45 lb.",""
"Serpent's Fang","CM","rare","weapon (longsword), martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","3 lb.",""
"Shadowfell Brand Tattoo","TCE","rare","wondrous item (tattoo)","requires attunement","","",""
"Shadowfell Shard","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Shard of the Ise Rune","SKT","very rare","wondrous item","requires attunement","","",""
"Shatterspike","TftYP","uncommon","weapon (longsword), martial weapon, melee weapon","requires attunement","1d8, slashing, - versatile (1d10)","3 lb.",""
"Shield Guardian Amulet","IDRotF","rare","wondrous item","requires attunement by a humanoid","","",""
"Shield of Expression","XGE","common","armor (shield)","","AC +2","6 lb.",""
"Shield of Far Sight","VGM","rare","armor (shield)","","AC +2","6 lb.",""
"Shield of Missile Attraction","DMG","rare","armor (shield)","requires attunement","AC +2","6 lb.",""
"Shield of the Hidden Lord","BGDIA","legendary","armor (shield)","requires attunement","AC +2","6 lb.",""
"Shield of the Uven Rune","WDMM","very rare","armor (shield)","requires attunement","AC +2","6 lb.",""
"Shiftweave","ERLW","common","wondrous item","","","",""
"Silken Spite","EGW","artifact","weapon (rapier), martial weapon, melee weapon","requires attunement","1d8, piercing, - finesse","2 lb.",""
"Silken Spite (Awakened)","EGW","artifact","weapon (rapier), martial weapon, melee weapon","requires attunement","1d8, piercing, - finesse","2 lb.",""
"Silken Spite (Dormant)","EGW","artifact","weapon (rapier), martial weapon, melee weapon","requires attunement","1d8, piercing, - finesse","2 lb.",""
"Silken Spite (Exalted)","EGW","artifact","weapon (rapier), martial weapon, melee weapon","requires attunement","1d8, piercing, - finesse","2 lb.",""
"Silver Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Silver Sword","MTF","unknown (magic)","weapon, martial weapon, melee weapon","requires attunement by a creature that has psionic ability","2d6, slashing, - heavy, two-handed","6 lb.",""
"Silverquill Primer","SCC","uncommon","wondrous item","requires attunement by a spellcaster","","",""
"Simic Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Simic Keyrune","GGR","uncommon","wondrous item","requires attunement by a member of the Simic guild","","",""
"Siren Song Lyre","MOT","rare","wondrous item, Instrument","requires attunement","","",""
"Skyblinder Staff","GGR","uncommon","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Sling Bullets of Althemone","MOT","very rare","ammunition","","","",""
"Slippers of Spider Climbing","DMG","uncommon","wondrous item","requires attunement","","",""
"Slumbering Dragon Vessel","FTD","uncommon","wondrous item","requires attunement","","",""
"Slumbering Dragon's Wrath Weapon","FTD","uncommon","generic variant","requires attunement","","",""
"Slumbering Dragon-Touched Focus","FTD","uncommon","wondrous item","requires attunement by a spellcaster","","",""
"Slumbering Scaled Ornament","FTD","uncommon","wondrous item","requires attunement","","",""
"Smokepowder","WDH","uncommon","wondrous item","","","",""
"Smoldering Armor","XGE","common","generic variant","","","",""
"Snicker-Snack","WBtW","legendary","weapon (greatsword), martial weapon, melee weapon","requires attunement by a non-evil creature","2d6, slashing, - heavy, two-handed","6 lb.",""
"Soul Bag","MM","very rare","other","","","",""
"Soul Coin","BGDIA","uncommon","wondrous item","","","",""
"Sovereign Glue","DMG","legendary","wondrous item","","","",""
"Speaking Stone","ERLW","very rare","wondrous item","","","",""
"Spear of Backbiting","TftYP","very rare","weapon (spear), simple weapon, melee weapon","requires attunement","1d6, piercing, - thrown (50/90 ft.), versatile (1d8)","3 lb.",""
"Spell Bottle","EGW","legendary","wondrous item","requires attunement","","",""
"Spell Gem","OotA","varies","wondrous item","attunement optional","","",""
"Spell Gem (Amber)","OotA","very rare","wondrous item","attunement optional","","",""
"Spell Gem (Bloodstone)","OotA","rare","wondrous item","attunement optional","","",""
"Spell Gem (Diamond)","OotA","legendary","wondrous item","attunement optional","","",""
"Spell Gem (Jade)","OotA","very rare","wondrous item","attunement optional","","",""
"Spell Gem (Lapis lazuli)","OotA","uncommon","wondrous item","attunement optional","","",""
"Spell Gem (Obsidian)","OotA","uncommon","wondrous item","attunement optional","","",""
"Spell Gem (Quartz)","OotA","rare","wondrous item","attunement optional","","",""
"Spell Gem (Ruby)","OotA","legendary","wondrous item","attunement optional","","",""
"Spell Gem (Star ruby)","OotA","legendary","wondrous item","attunement optional","","",""
"Spell Gem (Topaz)","OotA","very rare","wondrous item","attunement optional","","",""
"Spell Scroll","DMG","varies","scroll","","","",""
"Spell Scroll (1st Level)","DMG","common","scroll","","","",""
"Spell Scroll (2nd Level)","DMG","uncommon","scroll","","","",""
"Spell Scroll (3rd Level)","DMG","uncommon","scroll","","","",""
"Spell Scroll (4th Level)","DMG","rare","scroll","","","",""
"Spell Scroll (5th Level)","DMG","rare","scroll","","","",""
"Spell Scroll (6th Level)","DMG","very rare","scroll","","","",""
"Spell Scroll (7th Level)","DMG","very rare","scroll","","","",""
"Spell Scroll (8th Level)","DMG","very rare","scroll","","","",""
"Spell Scroll (9th Level)","DMG","legendary","scroll","","","",""
"Spell Scroll (Cantrip)","DMG","common","scroll","","","",""
"Spellguard Shield","DMG","very rare","armor (shield)","requires attunement","AC +2","6 lb.",""
"Spellshard","ERLW","common","wondrous item","","","",""
"Spellwrought Tattoo","TCE","varies","wondrous item (tattoo)","","","",""
"Spellwrought Tattoo (1st Level)","TCE","common","wondrous item (tattoo)","","","",""
"Spellwrought Tattoo (2nd Level)","TCE","uncommon","wondrous item (tattoo)","","","",""
"Spellwrought Tattoo (3rd Level)","TCE","uncommon","wondrous item (tattoo)","","","",""
"Spellwrought Tattoo (4th Level)","TCE","rare","wondrous item (tattoo)","","","",""
"Spellwrought Tattoo (5th Level)","TCE","rare","wondrous item (tattoo)","","","",""
"Spellwrought Tattoo (Cantrip)","TCE","common","wondrous item (tattoo)","","","",""
"Sphere of Annihilation","DMG","legendary","wondrous item","","","",""
"Spider Staff","LMoP","rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","6 lb.",""
"Spies' Murmur","GGR","uncommon","wondrous item","requires attunement","","",""
"Spyglass of Clairvoyance","AI","common","wondrous item","","","",""
"Staff of Adornment","XGE","common","staff, weapon, simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Birdcalls","XGE","common","staff, weapon, simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Charming","DMG","rare","staff, weapon, simple weapon, melee weapon","requires attunement by a bard, cleric, druid, sorcerer, warlock, or wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Defense","LMoP","rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","3 lb.",""
"Staff of Dunamancy","EGW","very rare","staff, weapon, simple weapon, melee weapon","requires attunement by a wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Fate","CM","very rare","staff, weapon (quarterstaff), simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Fire","DMG","very rare","staff, weapon, simple weapon, melee weapon","requires attunement by a druid, sorcerer, warlock, or wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Flowers","XGE","common","staff, weapon, simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Frost","DMG","very rare","staff, weapon, simple weapon, melee weapon","requires attunement by a druid, sorcerer, warlock, or wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Healing","DMG","rare","staff, weapon, simple weapon, melee weapon","requires attunement by a bard, cleric, or druid","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Power","DMG","very rare","staff, weapon, simple weapon, melee weapon","requires attunement by a sorcerer, warlock, or wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Striking","DMG","very rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Swarming Insects","DMG","rare","staff, weapon, simple weapon, melee weapon","requires attunement by a bard, cleric, druid, sorcerer, warlock, or wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Thunder and Lightning","DMG","very rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of Withering","DMG","rare","staff, weapon, simple weapon, melee weapon","requires attunement by a cleric, druid, or warlock","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of the Adder","DMG","uncommon","staff, weapon, simple weapon, melee weapon","requires attunement by a cleric, druid, or warlock","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of the Forgotten One","ToA","artifact","staff, weapon, simple weapon, melee weapon","requires attunement by a sorcerer, warlock, or wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of the Ivory Claw","EGW","rare","staff, weapon, simple weapon, melee weapon","requires attunement by a spellcaster","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of the Magi","DMG","legendary","staff, weapon, simple weapon, melee weapon","requires attunement by a sorcerer, warlock, or wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of the Python","DMG","uncommon","staff, weapon, simple weapon, melee weapon","requires attunement by a cleric, druid, or warlock","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Staff of the Woodlands","DMG","rare","staff, weapon, simple weapon, melee weapon","requires attunement by a druid","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Statuette of Saint Markovia","CoS","unknown (magic)","other","","","","250 gp"
"Steel","WBtW","very rare","weapon (longsword), martial weapon, melee weapon","requires attunement by a good-aligned creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Stirring Dragon Vessel","FTD","rare","wondrous item","requires attunement","","",""
"Stirring Dragon's Wrath Weapon","FTD","rare","generic variant","requires attunement","","",""
"Stirring Dragon-Touched Focus","FTD","rare","wondrous item","requires attunement by a spellcaster","","",""
"Stirring Scaled Ornament","FTD","rare","wondrous item","requires attunement","","",""
"Stone of Controlling Earth Elementals","DMG","rare","wondrous item","","","5 lb.",""
"Stone of Creation","AitFR-AVT","artifact","wondrous item","requires attunement","","",""
"Stone of Golorr","WDH","artifact","wondrous item","requires attunement","","",""
"Stone of Good Luck","DMG","uncommon","wondrous item","requires attunement","","",""
"Stone of Ill Luck","TftYP","uncommon","wondrous item","requires attunement","","1 lb.",""
"Stonespeaker Crystal","OotA","rare","wondrous item","requires attunement","","",""
"Stonky's ring","CM","unknown (magic)","ring","requires attunement","","",""
"Storm Boomerang","PotA","uncommon","weapon, range, simple weapon","","1d4, bludgeoning, - range 60/120 ft.","",""
"Stormgirdle","EGW","legendary","wondrous item","requires attunement","","",""
"Stormgirdle (Awakened)","EGW","legendary","wondrous item","requires attunement","","",""
"Stormgirdle (Dormant)","EGW","legendary","wondrous item","requires attunement","","",""
"Stormgirdle (Exalted)","EGW","legendary","wondrous item","requires attunement","","",""
